EmployeeID,Age,Gender,Department,HoursWorkedPerWeek,SatisfactionScore,PerformanceRating,YearsAtCompany,Promotions,LeftCompany,ProductivityScore
1,59,Female,Operations,31,2.93,3,14,1,Yes,51.0
2,49,Female,HR,45,4.31,3,0,3,No,74.6
3,35,Male,IT,57,4.4,2,26,2,No,83.9
4,28,Female,Finance,22,4.4,3,25,2,No,59.4
5,41,Male,Finance,52,2.68,4,23,4,Yes,63.2
6,59,Male,Finance,34,4.16,4,23,1,No,65.4
7,39,Female,HR,24,4.4,4,26,0,No,60.8
8,43,Male,IT,43,2.84,3,16,1,No,58.5
9,31,Female,Operations,30,2.27,5,8,0,No,43.7
10,31,Male,Marketing,52,3.81,5,1,1,Yes,74.5
11,44,Female,HR,42,4.62,5,5,3,No,75.6
12,56,Female,Sales,29,4.89,3,24,1,No,69.2
13,44,Female,Sales,47,2.16,3,15,4,No,54.5
14,23,Female,HR,58,4.82,3,12,0,No,88.8
15,42,Female,Marketing,36,3.0,2,5,3,No,55.2
16,22,Female,Sales,45,2.22,3,22,3,No,53.7
17,44,Male,Marketing,44,4.95,2,14,1,No,80.3
18,50,Male,Finance,55,4.51,5,24,3,No,83.6
19,58,Female,HR,31,3.77,3,4,2,Yes,59.4
20,22,Female,Finance,22,4.58,5,16,2,No,61.2
21,41,Female,Sales,48,3.73,3,8,2,No,70.9
22,53,Female,Marketing,43,2.76,2,25,1,No,57.7
23,32,Female,Finance,38,4.79,2,29,0,No,74.5
24,42,Male,Sales,32,4.85,3,12,1,No,70.9
25,45,Male,IT,35,2.26,4,6,4,No,47.1
26,47,Male,Finance,59,2.42,3,15,3,No,65.5
27,48,Male,IT,46,2.53,3,7,2,No,57.5
28,36,Female,IT,25,4.29,3,17,1,No,60.4
29,35,Female,Operations,29,4.16,4,4,1,Yes,61.9
30,23,Female,Sales,57,4.93,2,12,3,No,89.2
31,57,Male,HR,27,2.86,5,23,1,Yes,47.5
32,27,Male,Marketing,37,3.95,3,22,2,No,65.4
33,41,Male,Sales,51,4.43,4,6,3,No,80.0
34,29,Male,Operations,36,1.88,3,19,0,No,44.0
35,59,Male,Operations,21,3.48,2,12,2,No,49.5
36,38,Male,Finance,39,3.19,3,1,4,Yes,59.2
37,24,Male,Marketing,29,3.97,1,25,4,Yes,60.0
38,45,Male,Operations,28,3.78,4,18,3,No,57.4
39,34,Female,HR,58,4.25,3,13,2,Yes,83.1
40,29,Male,Sales,44,2.24,2,29,2,No,53.2
41,46,Male,HR,44,1.87,2,13,2,No,49.5
42,22,Male,Finance,43,4.22,5,8,4,No,72.3
43,40,Male,Sales,25,2.44,4,3,3,Yes,41.9
44,48,Female,Finance,49,2.15,4,16,4,No,55.8
45,27,Female,Marketing,29,2.35,3,25,1,No,43.8
46,28,Male,Marketing,58,1.27,4,19,0,No,53.3
47,55,Female,HR,50,4.09,2,28,4,No,75.9
48,34,Male,HR,37,3.86,1,15,3,No,64.5
49,37,Female,Marketing,52,3.21,3,23,4,No,68.5
50,56,Male,IT,38,3.86,5,29,1,Yes,65.2
51,24,Male,Marketing,42,2.49,3,7,1,No,54.3
52,22,Female,Sales,24,2.18,2,25,1,No,38.6
53,26,Female,Finance,45,4.45,3,14,1,No,76.0
54,24,Female,Marketing,48,2.69,4,25,0,No,60.5
55,49,Male,Marketing,43,1.78,3,17,2,No,47.9
56,38,Male,Operations,25,4.0,4,9,1,No,57.5
57,46,Female,Finance,58,2.34,3,3,0,Yes,64.0
58,54,Male,Operations,23,1.85,1,6,4,No,34.6
59,30,Male,Finance,45,1.11,4,23,1,No,42.6
60,56,Male,Sales,34,4.88,2,16,4,No,72.6
61,34,Male,Finance,32,2.87,4,7,4,No,51.1
62,51,Male,HR,59,1.65,3,0,3,No,57.8
63,35,Male,Marketing,41,4.03,4,21,0,No,69.0
64,28,Male,Finance,32,4.55,5,20,0,No,67.9
65,34,Female,Sales,58,3.11,3,9,1,No,71.7
66,43,Male,Finance,36,1.11,3,14,1,No,36.3
67,41,Male,Marketing,55,2.46,4,22,1,No,63.1
68,36,Female,IT,58,1.97,2,5,0,No,60.3
69,38,Female,Finance,44,3.55,1,9,4,Yes,66.3
70,44,Male,HR,53,3.08,3,29,4,No,67.9
71,46,Female,Marketing,40,2.42,2,0,1,No,52.2
72,45,Male,Sales,44,3.59,2,5,4,No,66.7
73,49,Female,Marketing,44,3.34,5,12,1,Yes,64.2
74,35,Male,Operations,41,4.63,3,29,2,Yes,75.0
75,21,Male,IT,42,3.39,4,2,4,No,63.3
76,45,Female,Sales,44,3.03,4,11,0,No,61.1
77,27,Female,IT,33,4.29,2,14,3,Yes,66.0
78,29,Male,IT,33,1.81,5,21,0,No,41.2
79,44,Male,HR,45,1.97,4,6,0,No,51.2
80,21,Male,Finance,59,4.13,1,5,3,No,82.6
81,28,Female,HR,49,2.77,5,8,1,No,62.0
82,44,Male,HR,45,2.64,3,15,4,No,57.9
83,31,Male,Operations,57,4.55,5,11,0,No,85.4
84,37,Male,HR,41,3.44,4,8,4,No,63.1
85,28,Female,Sales,58,4.21,3,7,3,No,82.7
86,55,Female,Finance,58,4.24,3,4,3,No,83.0
87,55,Female,Finance,53,1.48,2,25,4,No,51.9
88,53,Male,Sales,44,3.61,3,2,4,No,66.9
89,25,Female,HR,55,4.81,2,3,3,No,86.6
90,59,Female,HR,32,2.92,5,10,1,No,51.6
91,48,Female,IT,48,3.93,4,9,4,No,72.9
92,27,Male,IT,28,3.27,4,7,2,No,52.3
93,29,Male,Operations,34,1.82,3,8,2,No,42.0
94,28,Female,Marketing,50,1.78,2,12,4,No,52.8
95,32,Male,IT,46,2.74,3,23,0,Yes,59.6
96,54,Male,Finance,50,2.93,3,25,3,No,64.3
97,53,Female,Sales,29,3.01,1,18,1,No,50.4
98,43,Female,HR,56,4.82,3,22,2,Yes,87.4
99,44,Female,Marketing,26,1.4,4,10,2,No,32.2
100,57,Female,IT,51,2.52,4,23,0,No,60.9
101,55,Male,Marketing,30,3.06,2,2,4,Yes,51.6
102,42,Male,Sales,47,4.85,4,0,0,No,81.4
103,47,Male,Sales,23,3.02,3,22,1,Yes,46.3
